"schoolid","location"
"4098-07-010","CORE CITIES"
"4099-07-010",NA
"4099-07-020",NA
"4100-07-010","OUT STATE"
"4103-07-020","CORE CITIES"
"4105-07-020","CORE CITIES"
"4113-07-010","CORE CITIES"
"4115-07-010","CORE CITIES"
"4116-07-010","SUBURBS"
"4116-07-020","SUBURBS"
"4116-07-030","SUBURBS"
"4118-07-010","OUT STATE"
"4119-07-010","SUBURBS"
"4120-07-010","SUBURBS"
"4122-07-020","SUBURBS"
"4123-07-010",NA
"4124-07-010","SUBURBS"
"4125-07-010",NA
"4126-07-010","SUBURBS"
"4127-07-010","OUT STATE"
"4128-07-010",NA
"4129-07-010","OUT STATE"
"4133-07-010",NA
"4135-07-010","OUT STATE"
"4136-07-010","OUT STATE"
"4137-07-010","OUT STATE"
"4138-07-010","OUT STATE"
"4139-07-010","CORE CITIES"
"4140-07-010","CORE CITIES"
"4141-07-010","SUBURBS"
"4142-07-010","OUT STATE"
"4142-07-020","OUT STATE"
"4143-07-010","CORE CITIES"
"4144-07-010","OUT STATE"
"4145-07-010","OUT STATE"
"4152-07-010","CORE CITIES"
"4153-07-010","CORE CITIES"
"4155-07-010","OUT STATE"
"4157-07-010","OUT STATE"
"4159-07-010","SUBURBS"
"4159-07-030","SUBURBS"
"4161-07-010","OUT STATE"
"4162-07-010","CORE CITIES"
"4165-07-010","OUT STATE"
"4166-07-010","OUT STATE"
"4167-07-010","SUBURBS"
"4168-07-010","OUT STATE"
"4169-07-010","CORE CITIES"
"4170-07-010","CORE CITIES"
"4170-07-012","CORE CITIES"
"4171-07-010","SUBURBS"
"4172-07-010","OUT STATE"
"4174-07-010",NA
"4175-07-010",NA
"4180-07-010",NA
"4181-07-010","CORE CITIES"
"4184-07-010","SUBURBS"
"4185-07-010","SUBURBS"
"4186-07-010","SUBURBS"
"4187-07-010","SUBURBS"
"4188-07-010","SUBURBS"
"4189-07-010","CORE CITIES"
"4191-07-030","CORE CITIES"
"4192-07-010","SUBURBS"
"4193-07-010","CORE CITIES"
"4194-07-010","OUT STATE"
"4195-07-010","OUT STATE"
"4197-07-010","OUT STATE"
"4198-07-010","OUT STATE"
"4199-07-010","SUBURBS"
"4200-07-020","SUBURBS"
"4201-07-010","CORE CITIES"
"4202-07-010",NA
"4205-07-010","CORE CITIES"
"4208-07-010","SUBURBS"
"4209-07-010","CORE CITIES"
"4211-07-010",NA
"4212-07-010","CORE CITIES"
"4213-07-010","SUBURBS"
"4214-07-010","OUT STATE"
"4215-07-010","CORE CITIES"
"4216-07-010","CORE CITIES"
"4219-07-010","CORE CITIES"
"4220-07-010","SUBURBS"
"4221-07-010",NA
"4223-07-010","OUT STATE"
"4224-07-010","SUBURBS"
"4225-07-010","CORE CITIES"
"4226-07-010","CORE CITIES"
"4227-07-010","OUT STATE"
"4228-07-010","SUBURBS"
"4230-07-010","SUBURBS"
"4231-07-010","CORE CITIES"
"4232-07-010",NA
"4233-07-010","SUBURBS"
"4239-07-010","CORE CITIES"
"4240-07-010",NA
"4243-07-010",NA
"4244-07-010",NA
"4248-07-010",NA
"4249-07-010",NA
"4250-07-010",NA
"4254-07-010",NA
